fight_id;fight_alternate_id;RedOdds;BlueOdds;RedExpectedValue;BlueExpectedValue;Date;Location;Country;Winner;TitleBout;WeightClass;Gender;NumberOfRounds;BlueCurrentLoseStreak;BlueCurrentWinStreak;BlueDraws;BlueAvgSigStrLanded;BlueAvgSigStrPct;BlueAvgSubAtt;BlueAvgTDLanded;BlueAvgTDPct;BlueLongestWinStreak;BlueLosses;BlueTotalRoundsFought;BlueTotalTitleBouts;BlueWinsByDecisionMajority;BlueWinsByDecisionSplit;BlueWinsByDecisionUnanimous;BlueWinsByKO;BlueWinsBySubmission;BlueWinsByTKODoctorStoppage;BlueWins;BlueWeightLbs;RedCurrentLoseStreak;RedCurrentWinStreak;RedDraws;RedAvgSigStrLanded;RedAvgSigStrPct;RedAvgSubAtt;RedAvgTDLanded;RedAvgTDPct;RedLongestWinStreak;RedLosses;RedTotalRoundsFought;RedTotalTitleBouts;RedWinsByDecisionMajority;RedWinsByDecisionSplit;RedWinsByDecisionUnanimous;RedWinsByKO;RedWinsBySubmission;RedWinsByTKODoctorStoppage;RedWins;RedWeightLbs;RedAge;BlueAge;LoseStreakDif;WinStreakDif;LongestWinStreakDif;WinDif;LossDif;TotalRoundDif;TotalTitleBoutDif;KODif;SubDif;HeightDif;ReachDif;AgeDif;SigStrDif;AvgSubAttDif;AvgTDDif;EmptyArena;BMatchWCRank;RMatchWCRank;RWFlyweightRank;RWFeatherweightRank;RWStrawweightRank;RWBantamweightRank;RHeavyweightRank;RLightHeavyweightRank;RMiddleweightRank;RWelterweightRank;RLightweightRank;RFeatherweightRank;RBantamweightRank;RFlyweightRank;RPFPRank;BWFlyweightRank;BWFeatherweightRank;BWStrawweightRank;BWBantamweightRank;BHeavyweightRank;BLightHeavyweightRank;BMiddleweightRank;BWelterweightRank;BLightweightRank;BFeatherweightRank;BBantamweightRank;BFlyweightRank;BPFPRank;BetterRank;Finish;FinishDetails;FinishRound;FinishRoundTime;TotalFightTimeSecs;RedDecOdds;BlueDecOdds;RSubOdds;BSubOdds;RKOOdds;BKOOdds
0;20241214-colby_covington-joaquin_buckley;205,0;-250,0;205,0;40,0;2024-12-14;Tampa, Florida, USA;USA;Blue;False;Welterweight;MALE;5;0;5;0;4,13;0,36;0,0;1,96;0,46;5;4;34;0;0;1;2;7;0;0;10;170;1;0;0;3,88;0,38;0,2;3,79;0,44;7;4;58;4;0;0;7;3;2;0;12;170;36;30;-1;5;-2;-2;0;-24;-4;4;-2;-2,54;10,16;-6;0,25;-0,2;-1,83;;9,0;6,0;;;;;;;;6,0;;;;;;;;;;;;;9,0;;;;;;Red;KO/TKO;;3,0;4:42;882,0;300,0;175,0;1800,0;2000,0;1100,0;150,0
1;20241214-cub_swanson-billy_quarantillo;124,0;-148,0;124,0;67,5676;2024-12-14;Tampa, Florida, USA;USA;Red;False;Featherweight;MALE;3;1;0;0;7,36;0,56;1,1;1,24;0,23;4;4;28;0;0;0;2;4;1;0;7;145;1;0;0;4,67;0,5;0,4;1,04;0,5;6;13;82;0;0;1;10;6;2;0;19;145;41;36;0;0;-2;-12;-9;-54;0;-2;-1;5,08;0,0;-5;2,69;0,7;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;KO/TKO;Punch;3,0;1:36;696,0;250,0;;1800,0;;450,0;
2;20241214-manel_kape-bruno_silva;-395,0;310,0;25,3165;310,0;2024-12-14;Tampa, Florida, USA;USA;Red;False;Flyweight;MALE;3;0;4;0;3,32;0,48;0,2;2,26;0,28;4;2;16;0;0;0;0;3;1;0;4;125;1;0;0;4,44;0,53;0,4;0,54;0,33;4;3;17;0;0;0;2;2;0;0;4;125;31;34;-1;4;0;0;-1;-1;0;1;1;-2,54;-7,62;3;-1,12;-0,2;1,72;;12,0;9,0;;;;;;;;;;;;9,0;;;;;;;;;;;;;12,0;;Red;KO/TKO;Punches;3,0;1:57;717,0;-105,0;550,0;900,0;1800,0;225,0;1100,0
3;20241214-vitor_petrino-dustin_jacoby;-340,0;270,0;29,4118;270,0;2024-12-14;Tampa, Florida, USA;USA;Blue;False;Light Heavyweight;MALE;3;2;0;1;5,5;0,47;0,0;0,36;0,25;4;6;35;0;0;0;4;4;0;0;8;205;1;0;0;2,82;0,45;0,8;3,98;0,66;5;1;14;0;0;0;2;2;1;0;5;205;27;36;1;0;-1;3;5;21;0;2;-1;2,54;-2,54;9;2,68;-0,8;-3,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;KO/TKO;Punch;3,0;3:44;824,0;240,0;500,0;550,0;3000,0;110,0;800,0
4;20241214-adrian_yanez-daniel_marcos;185,0;-225,0;185,0;44,4444;2024-12-14;Tampa, Florida, USA;USA;Blue;False;Bantamweight;MALE;3;0;4;0;5,94;0,52;0,0;0,25;0,5;4;0;13;0;0;1;2;1;0;0;4;135;0;1;0;6,51;0,41;0,0;0,0;0,0;6;2;15;0;0;1;0;6;0;0;7;135;31;31;0;3;-2;-3;-2;-2;0;-5;0;0,0;-2,54;0;-0,57;0,0;0,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;S-DEC;;3,0;5:00;900,0;450,0;150,0;2200,0;2200,0;450,0;200,0
5;20241214-navajo_stirling-tuco_tokkos;-750,0;525,0;13,3333;525,0;2024-12-14;Tampa, Florida, USA;USA;Red;False;Light Heavyweight;MALE;3;2;0;0;3,26;0,43;0,0;1,96;1,0;0;2;2;0;0;0;0;0;0;0;0;205;0;1;0;7,07;0,68;0,0;0,0;0,0;1;0;2;0;0;0;0;1;0;0;1;205;27;34;2;-1;-1;-1;2;0;0;-1;0;0,0;-7,62;7;-3,81;0,0;1,96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;U-DEC;;3,0;5:00;900,0;275,0;1000,0;1200,0;2500,0;-185,0;1200,0
6;20241214-michael_johnson-ottman_azaitar;-230,0;190,0;43,4783;190,0;2024-12-14;Tampa, Florida, USA;USA;Red;False;Lightweight;MALE;3;2;0;0;5,73;0,51;0,0;0,0;0,0;2;2;4;0;0;0;0;2;0;0;2;155;0;1;0;4,27;0,39;0,0;0,62;0,41;4;15;74;1;0;1;8;5;0;0;14;155;38;34;2;-1;-2;-12;-13;-70;-1;-3;0;-5,08;-5,08;-4;1,46;0,0;-0,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;KO/TKO;Punch;2,0;2:03;423,0;300,0;650,0;1000,0;2500,0;120,0;350,0
7;20241214-joel_alvarez-drakkar_klose;-425,0;330,0;23,5294;330,0;2024-12-14;Tampa, Florida, USA;USA;Red;False;Lightweight;MALE;3;0;4;0;4,37;0,55;0,0;1,58;0,26;4;2;29;0;0;1;6;2;0;0;9;155;0;2;0;4,39;0,52;1,2;0,0;0,0;4;2;15;0;0;0;0;3;3;0;6;155;31;36;0;2;0;3;0;14;0;-1;-3;-15,24;-17,78;5;-0,02;-1,2;1,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;KO/TKO;Knee;1,0;2:48;168,0;240,0;650,0;165,0;3000,0;275,0;900,0
8;20241214-sean_woodson-fernando_padilla;-155,0;130,0;64,5161;130,0;2024-12-14;Tampa, Florida, USA;USA;Red;False;Featherweight;MALE;3;0;1;0;6,48;0,42;0,8;0,0;0,0;1;1;5;0;0;0;0;1;1;0;2;145;0;5;1;5,58;0,46;0,4;0,66;0,62;3;1;24;0;0;2;3;2;0;0;7;145;32;27;0;-4;-2;-5;0;-19;0;-1;1;-2,54;-5,08;-5;0,9;0,4;-0,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;KO/TKO;Punches;1,0;4:58;298,0;100,0;350,0;2000,0;650,0;550,0;500,0
9;20241214-miles_johns-felipe_lima;210,0;-258,0;210,0;38,7597;2024-12-14;Tampa, Florida, USA;USA;Blue;False;Featherweight;MALE;3;0;1;0;3,29;0,52;1,3;1,33;0,5;1;0;3;0;0;0;0;0;1;0;1;145;0;3;0;3,28;0,47;0,0;1,02;0,2;3;2;29;0;0;1;4;2;0;0;7;145;30;26;0;-2;-2;-6;-2;-26;0;-2;1;-2,54;5,08;-4;0,01;1,3;0,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;neither;U-DEC;;3,0;5:00;900,0;350,0;-110,0;2000,0;650,0;700,0;500,0
